Text,Label
I find you attractive.,1
You have a great sense of humor.,1
I enjoy talking to you.,1
I like spending time with you.,1
You make me smile.,1
You're very special to me.,1
Are you single?,1
You're my favorite person.,1
You look amazing today!,1
You're irresistible.,1
You're so sweet.,1
I'm drawn to you.,1
You're incredible.,1
I love your laugh.,1
What are you doing later?,1
You light up the room.,1
You're so charming.,1
Let's grab dinner together.,1
I'm glad we met.,1
You're on my mind.,1
I can't stop thinking about you.,1
You have a great personality.,1
You're so kind.,1
Can you pass me the salt?,1
You're the highlight of my day.,1
You're a great listener.,1
I admire you.,1
I love your smile.,1
I feel happy around you.,1
Your eyes are so beautiful.,1
"Pass me the book, please.",0
I have a doctor's appointment.,0
I need to clean the house.,0
The traffic was terrible today.,0
Let's go for a walk.,0
This music is relaxing.,0
Let's meet for lunch.,0
How's your family doing?,0
What's your favorite movie?,0
Let's plan our next vacation.,0
Have you read this book?,0
Can you help me with this problem?,0
Have you tried the new restaurant?,0
I have a busy week ahead.,0
I have a question for you.,0
This coffee is delicious.,0
Let's discuss the project.,0
Let's organize the files.,0
I need to buy groceries.,0
I like your new hairstyle.,0
What's your opinion on this?,0
Did you finish the report?,0
The weather is nice today.,0
I'm looking forward to the weekend.,0
Did you watch the game last night?,0
What time is the meeting?,0
I'm excited about the new project.,0
How was your weekend?,0
What do you think about this idea?,0
